,appId,title,score,rating,review,install,developer,dev_email,dev_web,release
0,baligov.ptsp.ekartupengawasankendaraan,E-Kartu Pengawasan PTSP Bali,4.848485,33,12,3500,Dinas Penanaman Modal dan PTSP Prov. Bali,dptspbali@gmail.com,http://dpmptsp.baliprov.go.id/,
1,baliprov.biroumpro.eoffice,E-Office Pemprov. Bali,4.8,5,2,777,Biro Umum dan Protokol Setda Prov. Bali,umumprotokolbali@gmail.com,https://eoffice.baliprov.go.id,
2,baliprov.diskominfos.absensi,error,error,error,error,error,error,error,error,error
3,baliprov.diskominfos.absensiopd,error,error,error,error,error,error,error,error,error
4,baliprov.diskominfos.antrean,Antrean,4.2,5,1,291,Diskominfos Provinsi Bali,diskominfos@baliprov.go.id,https://lovebali.baliprov.go.id,
5,baliprov.diskominfos.antreanfaskes,Antrean Faskes,0,0,0,134,Diskominfos Provinsi Bali,diskominfos@baliprov.go.id,https://lovebali.baliprov.go.id/,
6,baliprov.diskominfos.hmc,Bali Media Center,4.1973686,76,36,12271,Diskominfos Provinsi Bali,baliprovdiskominfos@gmail.com,https://diskominfos.baliprov.go.id/,
7,baliprov.diskominfos.lovebali,Love Bali,3.3061225,49,27,15150,Diskominfos Provinsi Bali,lovebali@baliprov.go.id,https://diskominfos.baliprov.go.id/,
8,baliprov.diskominfos.lovebaliendpoint,Love Bali Endpoint,0,0,0,95,Diskominfos Provinsi Bali,diskominfos@baliprov.go.id,https://diskominfos.baliprov.go.id/,
9,baliprov.diskominfos.madeinbali,Made in Bali,0,0,0,6,Diskominfos Provinsi Bali,dekyuda65@gmail.com,https://madeinbali.baliprov.go.id/,
10,com.winterscall.sikkbsmobile,Krama Bali Sehat,0,0,0,170,Diskominfos Provinsi Bali,agusdwinugraha@icloud.com,http://sundeproject.com,
11,com.sambat.banten,SAMBAT - SAMSAT BANTEN HEBAT,1.3381642,2000,1576,240500,Bapenda Provinsi Banten,edpbapenda@gmail.com,http://bapenda.bantenprov.go.id,"May 15, 2019"
12,id.go.bantenprov.epormas.epormas,Tiara Banten,0,0,0,49,CyberMedia.Co.Id,solusi@cybermedia.co.id,http://www.cybermedia.co.id,
13,com.sambat.banten,SAMBAT - SAMSAT BANTEN HEBAT,1.3381642,2000,1576,240500,Bapenda Provinsi Banten,edpbapenda@gmail.com,http://bapenda.bantenprov.go.id,"May 15, 2019"
14,com.diskominfo_prov_bengkulu.e_presensimobileprovinsibengkulu,E-Presensi Mobile Provinsi Bengkulu,0,0,0,146,eGov BengkuluProv,egovernment.bengkuluprov@gmail.com,,"Jun 21, 2021"
15,com.dprdbungo.jdihdprdbengkuluutara,JDIH DPRD BENGKULU UTARA,5,5,2,75,Romasyaf Group,jdih@dprd-bengkuluutarakab.go.id,http://dprd-bengkuluutarakab.go.id/,"Jan 18, 2020"
16,com.ppdbsmanbengkulu.usp,PPDB SMA-SMK N Prov Bengkulu,2.7027028,37,27,3855,Uspatih Studio,infoppdb@provbengkulu.com,http://ppdb.provbengkulu.com,"May 18, 2019"
17,com.diskominfo_prov_bengkulu.e_presensimobileprovinsibengkulu,E-Presensi Mobile Provinsi Bengkulu,0,0,0,146,eGov BengkuluProv,egovernment.bengkuluprov@gmail.com,,"Jun 21, 2021"
18,com.diskominfo_prov_bengkulu.bengkuluprovmobile,Bengkuluprov Mobile,0,0,0,2,eGov BengkuluProv,egovernment.bengkuluprov@gmail.com,,"Aug 8, 2021"
19,com.olongia.provgtlo.surag,Disposisi Digital,,,,30,Gorontalo,kursormultidata01@gmail.com,http://kursor.id,
20,com.wPPIDBawasluGorontalo_13335111,PPID Bawaslu Kab. Gorontalo,5,25,24,45,nynadynasir,ickha.arthal@gmail.com,,"Mar 5, 2021"
21,id.go.gorontaloprov.siransija,e-Siransija,4.257426,348,139,14844,Data Center Provinsi Gorontalo,kominfostatistik@gorontaloprov.go.id,https://kominfostatistik.gorontaloprov.go.id/,
22,id.go.gorontaloprov.tte,Tanda Tangan Elektronik - Provinsi Gorontalo,0,0,0,367,Data Center Provinsi Gorontalo,developer@gorontaloprov.go.id,https://tte.gorontaloprov.go.id,
23,nobodyjr.com.bsgiteb.esamsatgto,e-SAMSAT Gorontalo,2.16,107,87,12174,PT. Bank SulutGo,divisicorsec@banksulutgo.co.id,http://www.banksulutgo.co.id,
24,com.olongia.provgtlo.surag,Disposisi Digital,,,,30,Gorontalo,kursormultidata01@gmail.com,http://kursor.id,
25,com.pura.argorontalo,AR Gorontalo,0,0,0,100,Total Security System 02,rndtss02@gmail.com,https://www.puragroup.com/,
26,com.jakartacctv,CCTV Jakarta Online,3.73,226,119,45365,JNN Dev,kodeanku@gmail.com,http://jinani.net/,"Feb 6, 2020"
27,com.saranajaya.samawa,SAMAWA DP 0,4.6981134,2085,1201,129305,Perumda Sarana Jaya,info.pondokkelapa@nuansa.sarana-jaya.co.id,https://nuansa.sarana-jaya.co.id,"Feb 14, 2020"
28,hagemaruf.wasnakerdki.suket,SUKET K3 DKI Jakarta,0,0,0,74,Disnaker DKI Jakarta,hagemaruf@gmail.com,https://351dki.com/suket,"Jul 28, 2020"
29,id.dasawisma.android,Carik Jakarta,4.6173186,3584,1337,164670,Dinas PPAPP dan TP-PKK Provinsi DKI Jakarta,dppapp@jakarta.go.id,http://carik.jakarta.go.id,"Sep 26, 2019"
30,id.go.jakarta.dinkes.esehatjakarta,e-Sehat Dinas Kesehatan DKI Jakarta,5,6,2,489,Dinas Kesehatan Provinsi DKI Jakarta,datin.dinkesdki@gmail.com,http://dinkes.jakarta.go.id,"Mar 25, 2018"
31,id.go.jakarta.pelayanan.lacakberkas,Lacak Berkas,4.19,123,57,16776,Abrar,rvng.bstrd@gmail.com,http://ptsp.jakarta.go.id,"Aug 23, 2017"
32,id.go.jakarta.dinkes.esehatjakarta,e-Sehat Dinas Kesehatan DKI Jakarta,5,6,2,489,Dinas Kesehatan Provinsi DKI Jakarta,datin.dinkesdki@gmail.com,http://dinkes.jakarta.go.id,"Mar 25, 2018"
33,com.puskesmascilandak.e_jiwa,e-Jiwa,4.0491805,61,29,11030,Dinas Kesehatan Provinsi DKI Jakarta,datin.dinkesdki@gmail.com,http://dinkes.jakarta.go.id,"Dec 2, 2018"
34,hagemaruf.disnaker.sinta,SINTA WasnakerDKI,0,0,0,14,Disnaker DKI Jakarta,hagemaruf@gmail.com,https://351dki.com/sinta,"Aug 10, 2020"
35,appinventor.ai_radiodisdik.RadioDIsdikDKI,RadioDisdikDKI,4.65,20,9,3788,DINAS PENDIDIKAN DKI JAKARTA,pusdatikomdik@gmail.com,http://disdik.jakarta.go.id,"Mar 6, 2019"
36,com.disdik.ide,ID.e,4.7222223,36,22,2951,DINAS PENDIDIKAN DKI JAKARTA,pusdatikomdik@gmail.com,https://disdik.jakarta.go.id/,
37,id.go.jakarta.smartcity.jaki,JAKI - Jakarta Kini,3.5298295,6793,3328,1645509,Pemprov DKI Jakarta,jakismartcity@jakarta.go.id,https://jaki.jakarta.go.id/,
38,id.go.jakarta.eoffice,eOffice Pemprov DKI Jakarta,4.4583335,24,10,2971,Pemprov DKI Jakarta,diskominfomas.sim@gmail.com,https://eoffice.jakarta.go.id,"May 22, 2019"
39,com.jsc.crmmobile,CRM - Perangkat Daerah Pemprov DKI Jakarta App,3.8492064,1264,519,47366,Pemprov DKI Jakarta,smartcityjakarta@gmail.com,http://www.jakarta.go.id,
40,id.go.jakarta.pajakonline.mobile,Pajak Online DKI Jakarta,2.16,1005,639,258227,Pemprov DKI Jakarta,pajak.ti@jakarta.go.id,https://pajakonline.jakarta.go.id,
41,com.jsc.crmmobilev2,CRMv2 - Perangkat Daerah Pemprov DKI Jakarta Apps,4.46,50,26,5545,Pemprov DKI Jakarta,smartcityjakarta@gmail.com,,
42,com.bapenda.mobilespd,SmarTax,3.1960785,102,62,13675,Pemprov DKI Jakarta,pajakdki.ti@gmail.com,https://bprd.jakarta.go.id/sensus,
43,com.ionicframework.bprd423500,Bapenda Mobile,3.41,112,47,23394,Pemprov DKI Jakarta,pajakdki.ti@gmail.com,https://bapenda.jakarta.go.id/,
44,com.dprkp.rusun,SIRUKIM Provinsi DKI Jakarta,2.6534653,298,205,38310,DPRKP DKI Jakarta,sirukim.dinasperumahan@gmail.com,,
45,id.go.jakarta.smartcity.absencymonitoring,Monitoring Absensi,3.9189188,37,19,4203,Pemprov DKI Jakarta,smartcityjakarta@gmail.com,http://www.jakarta.go.id,
46,com.nagabendu.jaksiape,JAKSIAPE,4.888889,9,1,897,Pemprov DKI Jakarta,parkiranjakarta@gmail.com,,
47,com.disdukcapildki.alpukat,Alpukat Betawi,3.660177,5438,3521,546670,Dinas Dukcapil Provinsi DKI Jakarta,raditdkpsdki@gmail.com,https://alpukat-dukcapil.jakarta.go.id/,
48,id.go.jakarta.jakpreneur,JakPreneur,2.8297873,47,33,4724,Pemprov DKI Jakarta,diskominfomas.sim@gmail.com,https://pkt.jakarta.go.id,
49,id.co.cartenz.jktqrenduser.androprod2,Jejak@JAKI,4.5308642,81,33,14110,Pemprov DKI Jakarta,halo@jejakapp.id,,
